37.59.45.199:2014 > Brasil Life City RPG [v1.0] | 2/55
37.59.45.199:2220 > SA-MP 0.3 Server | 0/30
37.59.45.199:2295 > [IF]Balkan Army Rolelay -Dobrodosli- | 0/30
37.59.45.199:2586 > Forúm: equipesLORDS.forumeiros.com | 4/30
37.59.45.199:2601 > [ELRPG] Exotic Life RolePlay [IZRADA] | 2/5
37.59.45.199:2973 > Brasil PerfectCity [RPG v3.0] | 0/55
37.59.45.199:3188 > SA-MP 0.3 Server | 0/30
37.59.45.199:3253 > Nova RolePlay |» NovaGamers Oficial | 1/50
37.59.45.199:3339 > BARRAS BRAVAS - [COM MODO BATTLEROYALE] | 1/54
37.59.45.199:3368 > BM || Dobrodosli! Test Server | 0/50
37.59.45.199:3412 > Basic Roleplay :: www.yourpage.com | 0/30
37.59.45.199:3688 > SAMP-ME | 5/55
37.59.45.199:3799 > the advengers freeroam dm | 0/10
37.59.45.199:3818 > Brcity RP BR RPG [v1.0] | 0/55
37.59.45.199:3850 > SA-MP 0.3 Server | 0/55
37.59.45.199:3939 > stefan sugemil | 0/30
37.59.45.199:3984 > HamroServer | 0/30
37.59.45.199:3994 > R3vivalX RP | 0/25
37.59.45.199:4012 > sounndadv new project | 0/50
37.59.45.199:4047 > [NG] Nightlife Gaming Event: Relly(2) u Toku! | 0/55
37.59.45.199:4136 > [SA-MP.ME]Grand Roleplay | 0/30
37.59.45.199:4172 > Hungarian - Resort RolePlay | 0/55
37.59.45.199:4195 > SA-MP 0.3 Server | 0/30
37.59.45.199:4251 > [0.3DL] NotreMovie (Nouveau /w! et /goto) | 0/30
37.59.45.199:4338 > [0.3.7] South Central Roleplay - www.scroleplay.ne | 0/30
37.59.45.199:4340 > .::SiCaRi®S TDM Fr3eRØaM 0.3.7[Ultra-H.com]::. | 2/30
37.59.45.199:4425 > Balkan Gamers RP by Maras | 0/50
37.59.45.199:4462 > FunZone Entra y Diviertete | 0/55
37.59.45.199:4476 > Brasil Mundo Divertido | Clan's Guerra's | 0/50
37.59.45.199:4504 > PodgorciGANG! | 2/55
37.59.45.199:4547 > [BRASIL] Sky D.M | 0/55
37.59.45.199:4715 > se7en Bulletproof Server - T/CW | 0/15
37.59.45.199:4726 > SA-MP 0.3 Server | 0/30
37.59.45.199:4790 > yisus alta perra | 0/30
37.59.45.199:4812 > Rona.DiaVoLa.Ro [/Bonus] | 0/50
37.59.45.199:4967 > [IF] ~ITALIAN FIGHTERS~ [ita] | 0/55
37.59.45.199:4981 > Hooked Rpg - Beta Session | 0/50
37.59.45.199:5090 > Play-Zone RPG - BETA Server | 0/50
